,SVM,DecTree,Percep,SGD,RandF,LogR,KNN,GauNB
248,1,1,1,1,1,1,1,1
249,0,1,1,0,1,1,1,0
250,0,0,0,1,1,0,1,0
251,1,1,1,1,1,1,1,1
252,0,1,1,1,1,1,0,0
253,0,1,1,0,1,0,1,1
254,1,1,1,1,1,0,1,1
255,1,0,1,1,1,0,1,1
256,1,1,1,0,1,1,1,1
257,0,1,1,1,1,1,0,1
258,0,1,1,1,1,1,0,1
259,0,1,1,0,1,1,1,1
260,0,1,1,0,1,1,1,0
261,0,1,1,1,1,1,1,1
262,0,0,1,1,0,0,0,0
263,1,1,1,1,1,1,1,1
264,0,1,1,0,1,0,0,1
265,0,0,1,1,0,0,0,0
266,1,1,1,0,1,1,1,1
267,1,1,1,1,1,1,1,1
268,1,1,1,0,1,1,0,1
269,0,1,1,0,1,1,1,1
270,0,1,1,1,1,1,1,1
271,1,1,1,1,1,1,1,1
272,0,1,1,1,0,0,1,0
273,0,1,1,0,1,1,1,1
274,0,1,1,1,0,0,1,0
275,1,0,1,0,0,0,0,0
276,1,1,1,0,1,1,1,1
277,1,1,1,0,0,0,1,0
278,1,1,1,1,1,0,1,1
279,0,1,1,1,1,1,0,0
280,0,1,1,1,1,1,1,1
281,0,1,0,1,0,0,1,0
282,0,1,1,0,1,1,1,0
283,0,1,1,1,1,1,0,1
284,1,1,1,0,1,1,1,1
285,1,1,1,1,0,0,1,0
286,1,1,1,0,0,0,1,0
287,0,0,1,0,0,0,0,0
288,0,0,1,1,0,0,0,0
289,0,0,1,1,0,0,0,0
290,0,0,1,1,0,0,0,0
291,1,0,1,1,0,1,0,1
292,0,0,1,0,1,1,0,0
293,0,0,1,1,0,0,0,0
294,0,0,1,0,0,0,0,0
295,0,0,1,0,0,0,0,0
296,1,0,1,1,0,1,0,1
297,1,1,1,1,1,1,1,1
298,0,0,1,1,0,0,0,0
299,1,0,1,1,0,1,0,0
300,0,0,1,1,0,0,0,0
301,0,0,1,0,1,0,0,0
302,0,0,1,1,0,0,0,0
303,1,0,1,1,0,1,1,1
304,1,1,1,1,1,1,1,0
305,0,0,1,1,0,0,0,0
306,0,1,1,0,1,1,1,1
307,0,0,1,1,1,1,1,1
308,0,0,1,0,1,1,1,1
309,0,0,1,0,0,0,0,0
310,0,0,1,0,0,0,0,0
311,0,0,1,1,1,1,0,0
312,0,0,1,1,1,1,0,1
313,0,0,1,0,0,0,1,0
314,0,0,1,0,0,0,0,0
315,0,0,1,1,0,0,0,0
316,1,0,1,0,1,1,1,1
317,0,0,1,1,1,1,0,1
318,0,0,1,1,0,1,0,0
319,0,0,1,0,0,0,0,0
320,0,0,1,1,0,0,0,0
321,0,0,1,1,0,0,0,1
322,0,1,1,1,0,0,1,0
323,0,0,1,1,0,0,0,0
324,0,0,1,0,0,0,1,0
325,0,0,1,0,0,0,0,0
326,0,0,0,1,0,0,0,0
327,0,0,0,1,0,0,0,0
328,0,0,1,0,0,0,0,0
329,0,0,0,1,0,0,0,0
330,0,0,0,0,0,0,0,0
331,0,1,1,1,1,0,1,0
332,1,0,1,1,0,0,0,0
333,0,0,1,0,0,0,0,0
334,0,0,1,1,0,0,0,0
335,0,0,1,1,0,0,0,0
336,0,0,0,1,0,0,0,0
337,0,1,1,1,0,1,1,1
338,0,1,1,0,0,0,1,1
339,1,1,1,1,1,1,1,1
340,0,1,1,1,1,1,1,0
341,0,1,1,1,0,0,0,0
342,1,1,1,0,1,1,0,0
343,1,0,1,0,0,1,0,0
344,1,1,1,1,1,1,1,0
345,1,1,1,1,1,0,1,0
346,0,1,1,0,1,1,1,0
347,1,1,1,1,1,1,1,1
348,1,1,1,1,1,1,1,1
349,1,1,1,1,1,0,1,1
350,0,0,1,0,1,0,0,1
351,0,0,1,0,0,0,0,0
352,0,0,1,0,0,0,1,0
353,0,1,1,1,1,1,1,1
354,1,1,1,1,1,1,1,1
355,0,1,1,0,1,1,1,1
356,0,1,1,0,1,1,1,1
357,0,1,1,1,1,1,1,1
358,0,1,1,1,1,1,1,1
359,1,1,1,1,1,1,0,0
360,0,1,1,1,1,0,1,0
361,0,1,1,0,1,1,1,1
362,0,1,1,0,1,0,1,1
363,1,1,1,1,1,1,1,0
364,0,1,1,0,1,1,0,1
365,0,1,1,1,1,1,1,1
366,1,1,1,0,1,1,0,0
367,1,1,1,1,1,0,1,0
368,0,1,1,0,1,1,1,0
369,1,1,1,1,1,1,1,1
370,0,1,1,1,1,1,0,1
371,0,1,1,1,1,1,1,1
372,1,1,1,1,1,1,1,1
373,1,0,1,0,1,0,0,0
374,1,1,1,1,1,1,1,0
375,1,1,1,0,1,0,0,0
376,1,1,1,1,1,1,0,0
377,0,1,1,0,1,1,1,0
378,1,1,1,1,1,1,1,1
379,1,1,1,1,1,1,1,1
380,0,1,1,1,0,0,1,0
381,0,1,1,0,1,1,1,1
382,0,1,0,1,1,1,0,1
383,0,1,1,0,0,0,1,0
384,0,1,1,0,0,0,1,0
385,0,1,1,1,1,1,1,1
386,1,1,1,1,1,1,1,1
387,1,1,1,1,1,1,1,1
388,1,1,1,0,1,1,1,0
389,1,1,1,1,1,1,1,1
390,0,1,1,1,1,1,1,1
391,0,1,1,1,1,1,0,0
392,1,1,1,0,1,1,1,1
393,1,0,1,1,0,0,0,0
394,0,1,0,1,1,1,1,0
395,1,1,1,1,1,1,1,1
396,0,0,1,1,0,0,0,0
397,1,0,1,1,0,0,0,0
398,1,1,1,0,1,0,1,1
399,0,1,1,1,1,1,1,1
400,0,0,1,1,0,0,0,0
401,0,0,1,1,0,0,0,0
402,0,0,0,1,0,0,0,0
403,0,0,1,1,0,0,0,0
404,0,1,1,1,1,1,1,1
405,1,1,1,1,1,1,0,1
406,0,0,1,0,0,0,0,0
407,0,0,0,1,0,0,0,0
408,0,1,1,0,1,1,1,0
409,0,1,0,1,0,0,1,0
410,1,1,1,1,1,1,0,1
411,1,0,1,0,0,0,1,0
412,0,0,0,1,0,0,0,0
413,0,0,1,0,0,0,0,1
414,0,1,1,0,1,1,1,0
415,0,0,0,0,0,0,0,0
416,0,0,1,1,1,0,1,0
417,0,0,1,1,0,0,1,1
418,1,1,0,1,1,1,1,1
419,1,0,1,1,0,1,0,0
420,0,1,0,1,0,1,1,0
421,0,1,1,1,1,1,1,1
422,1,1,1,0,1,1,1,0
423,0,0,1,0,0,1,0,0
424,0,0,1,0,1,1,0,1
425,1,1,1,1,1,1,1,1
426,0,1,1,0,1,1,1,0
427,0,1,1,1,1,1,1,0
428,0,0,1,0,1,0,0,1
429,1,1,1,1,1,1,1,1
430,0,1,1,1,1,1,1,1
431,0,1,1,1,1,1,1,0
432,0,1,1,1,1,1,1,1
433,0,1,0,1,0,1,1,0
434,1,1,1,0,1,1,1,1
435,1,1,1,0,1,1,1,1
436,0,1,1,1,1,1,1,1
437,0,1,1,1,1,1,1,0
438,0,1,1,1,1,1,1,1
439,1,0,1,1,0,0,0,0
440,1,1,1,1,1,1,1,1
441,0,1,1,1,1,1,1,1
442,1,0,1,1,0,1,1,0
443,1,1,1,0,1,1,1,1
444,1,1,1,0,1,1,1,1
445,1,1,1,0,1,1,1,1
446,1,1,1,1,1,1,1,1
447,0,1,1,1,1,0,1,0
448,1,1,1,0,1,1,1,1
449,0,1,1,1,1,1,1,1
450,0,0,1,0,0,0,0,0
451,1,1,1,1,1,1,0,1
452,1,0,0,1,1,1,0,1
453,0,1,1,1,1,1,1,1
454,0,0,0,0,0,0,0,0
455,1,1,1,0,1,1,1,0
456,0,1,1,1,1,1,1,1
457,0,1,1,1,1,1,1,1
458,0,1,1,1,1,1,1,1
459,0,0,1,1,0,1,0,0
460,0,1,0,0,1,1,0,0
461,0,1,1,0,1,1,1,0
462,0,0,1,0,0,0,0,0
463,0,1,1,1,1,1,1,1
464,1,1,1,1,1,1,0,1
465,0,0,1,1,1,1,1,1
466,0,1,0,1,1,1,1,0
467,1,1,1,0,1,1,1,0
468,1,1,1,1,1,1,1,1
469,0,0,0,0,0,0,0,0
470,1,1,1,1,1,1,1,1
471,1,1,1,1,1,1,1,1
472,1,1,1,1,1,1,1,1
473,1,1,1,1,1,1,1,1
474,1,1,1,0,1,1,1,1
475,1,1,1,0,1,1,1,0
476,1,1,1,1,1,1,1,1
477,1,1,1,1,1,1,1,1
478,0,1,1,1,1,1,1,1
479,0,1,1,1,1,1,1,1
480,0,0,0,0,1,1,1,0
481,0,0,0,0,0,1,0,0
482,0,1,1,1,1,1,1,0
483,0,1,0,1,1,1,1,0
484,1,1,1,0,1,1,1,1
485,1,1,0,1,1,1,1,0
486,0,1,1,0,1,1,1,0
487,0,0,1,1,0,1,0,0
488,1,0,1,0,1,1,0,1
489,1,1,1,1,1,0,1,1
490,0,1,1,0,1,1,1,1
491,0,0,0,1,0,0,0,0
492,0,0,1,0,1,1,0,1
493,0,0,0,0,0,0,0,0
494,0,1,1,1,1,1,1,1
495,1,0,1,0,1,1,0,0
496,0,0,0,1,0,0,0,0
497,1,1,1,0,1,0,1,1
498,0,0,1,0,0,0,0,0
499,1,0,0,1,1,0,1,0
500,0,1,1,1,1,1,1,1
501,0,0,0,1,0,0,1,0
502,0,0,1,0,0,0,0,0
503,1,0,0,1,0,1,0,0
504,1,1,1,1,1,1,1,1
505,0,0,1,0,0,0,0,1
506,0,0,1,0,0,0,0,0
507,1,0,1,0,0,1,1,1
508,1,0,0,0,0,0,0,0
509,1,0,1,0,1,1,0,1
510,0,0,1,0,0,0,0,0
511,1,0,1,0,0,0,1,0
512,0,0,1,1,0,0,0,0
513,1,0,1,0,0,0,0,0
514,0,0,1,1,1,0,0,0
515,0,0,0,1,0,0,0,0
516,0,0,0,0,0,0,0,0
517,1,0,1,0,0,0,1,0
518,1,0,1,1,1,1,0,1
519,1,1,1,1,1,1,1,1
520,1,0,1,1,1,1,0,1
521,0,0,0,0,0,0,0,0
522,1,0,1,1,0,0,0,0
523,0,0,1,0,0,0,0,0
524,0,0,1,1,0,0,0,0
525,0,0,1,1,1,1,0,1
526,1,0,1,1,1,1,1,1
527,0,0,1,1,0,0,0,1
528,1,0,1,1,0,0,0,0
529,0,0,1,1,1,1,1,1
530,1,0,1,0,0,0,0,0
531,0,0,1,1,0,0,0,0
532,1,0,1,1,1,1,1,1
533,0,0,1,1,0,0,0,0
534,0,1,0,1,1,1,1,1
535,0,0,0,1,0,0,0,0
536,0,0,1,1,0,0,0,0
537,1,0,1,1,0,1,1,1
538,0,0,1,0,0,0,0,0
539,1,1,1,1,1,1,1,1
540,0,1,1,0,1,1,1,1
541,0,0,1,1,0,0,0,0
542,0,0,1,1,0,1,0,0
543,0,0,1,1,0,0,0,0
544,0,1,1,1,1,1,1,1
545,0,1,1,0,1,1,0,0
546,1,1,1,1,1,1,1,1
547,0,1,1,0,1,1,1,1
548,0,1,1,0,1,1,0,1
549,1,0,1,1,0,0,1,0
550,0,1,1,0,1,1,1,1
551,0,1,1,0,1,1,1,1
552,0,1,1,0,1,1,1,1
553,0,0,1,0,0,1,0,1
554,0,0,0,0,0,0,0,0
555,0,1,0,1,0,0,1,0
556,0,0,1,0,0,0,0,0
557,1,1,0,0,1,1,1,1
558,1,0,1,0,0,1,0,0
559,0,1,1,1,0,1,1,1
560,1,1,1,1,1,1,1,1
561,0,0,1,0,0,0,1,0
562,0,0,1,0,0,1,1,0
563,1,1,1,1,1,1,1,1
564,0,1,1,1,1,1,1,0
565,0,0,1,1,0,0,0,0
566,0,1,1,1,1,1,1,1
567,0,1,1,1,1,1,1,1
568,0,1,1,1,1,1,1,1
569,1,1,1,1,1,1,1,1
570,1,1,1,1,1,1,1,1
571,1,1,1,1,1,1,1,1
572,1,1,1,0,1,1,1,1
573,1,0,0,1,0,1,0,0
574,1,0,1,1,0,0,0,0
575,0,1,1,1,1,1,1,1
576,1,1,1,1,1,1,1,1
577,0,1,1,1,1,1,0,0
578,0,1,1,1,1,1,0,0
579,0,1,1,1,1,1,1,1
580,1,1,1,0,1,1,1,1
581,0,1,1,1,1,1,1,0
582,1,1,1,1,1,1,1,1
583,1,1,1,1,1,1,1,0
584,1,1,1,0,1,1,1,1
585,0,1,1,1,1,1,1,0
586,1,1,1,1,1,1,1,1
587,0,1,1,0,1,1,1,1
588,1,1,1,0,1,1,1,1
589,1,1,1,1,1,1,1,1
590,0,0,1,0,1,1,0,0
591,0,1,1,1,1,1,1,1
592,0,0,1,1,1,1,0,0
593,1,1,1,1,1,1,1,1
594,1,1,1,1,0,0,1,0
595,0,0,1,0,0,0,0,0
596,1,1,1,0,1,1,1,0
597,1,1,1,1,1,1,1,1
598,1,1,1,0,1,1,0,1
599,0,1,1,1,1,1,0,0
600,1,1,1,1,1,1,1,1
601,0,1,0,1,1,1,1,0
602,1,1,1,0,1,1,1,1
603,1,1,1,0,1,1,1,1
604,0,1,1,0,1,0,1,0
605,0,1,1,1,1,1,0,1
606,0,1,1,0,1,1,0,0
607,1,1,1,1,1,1,1,1
