MediaHistogramaR,MediaHistogramaG,MediaHistogramaB,ValorMedioR,ValorMedioG,ValorMedioB,DesvioPadraoR,DesvioPadraoG,DesvioPadraoB,VarianciaR,VarianciaG,VarianciaB,Status
5.14683E+15,1.63937E+16,2.75777E+16,115292325056,116300225734,119494356659,108053414499,387922853097,322055075699,116755403849,150484139955,103719471783,0
3.26917E+15,2.01625E+16,3.34807E+15,627122921615,139372030879,124690320665,141981880002,104419578878,893935123179,201588542489,109034484531,799120004454,0
4.65415E+15,1.62909E+16,2.57923E+15,115347524752,144204950495,126271287129,142763051912,681790712204,475474150009,203812889913,464838575248,226075667327,0
255.8,1.60328E+16,2.45823E+16,634848484848,158180735931,127832251082,109844827525,402090558332,341471812772,120658861341,1616768171,116602998918,0
4.67414E+15,1.76565E+16,2.40854E+16,118353479853,162577838828,136808608059,136441079602,94683407596,847892680808,18616168203,896494767399,718921998168,0
6.60392E+15,1.57007E+16,2.45463E+16,176042576419,155032751092,134667030568,123133815943,366970049823,366225947092,151619366288,134667017467,134121444323,0
9.18336E+15,1.66574E+16,3.11292E+16,215534201954,16445276873,237635830619,278605877207,137129658562,730825170144,776212348142,188045432573,534105429316,1
2.53206E+15,1.50112E+15,2.53291E+16,629837296621,148991239049,121335419274,115848498713,400690577221,337683442938,13420874654,160552938673,114030107635,0
7.09665E+15,1.68879E+16,2.64305E+15,164727572016,152728395062,143157201646,242343636974,127591643172,155218618373,587304383817,162796274074,240928194897,1
3.40305E+16,1932.0,2.93729E+16,632529766074,160968903208,126432273428,146661934359,158324195767,131769723541,215097229899,250665509651,17363260042,0
1.17364E+16,2.43732E+16,4.09064E+15,175091086332,152572137091,139343275414,157043183083,307381763657,301297641676,246625613528,944835486287,907802688795,1
6.00204E+15,1.54215E+16,2.40876E+16,159847890088,13591952895,129934249264,193899962817,693816547348,603004639037,375971955803,481381401374,363614594701,0
6.45423E+15,1.54249E+16,2.31475E+15,171020519836,170995896033,1436374829,142500962246,435165471618,436928979319,203065242411,189368987688,190906932969,0
9.18653E+15,1.65587E+15,2.82795E+15,189036729858,142934044234,1434328594,203304608865,126249197439,141063233555,413327639859,159388598539,19898835861,1
850.0,1.64999E+16,2.84926E+15,197698710434,156427901524,173549237984,322695739481,127820797677,199217578642,104132540279,163381563189,396876436401,1
8.32105E+15,1.85193E+16,2.75961E+16,190313066667,156463466667,141850133333,12206516945,626075273004,578422758427,148999055929,391970247467,334572887467,0
8.72286E+15,1.68585E+16,2.6824E+15,204597741708,156059280169,170932251235,315685978073,124184259086,19187333051,996576367518,154217302047,368153749612,1
8.74264E+15,1.53552E+15,2.68054E+15,200940572267,149817314747,162598679384,273872019524,122518305219,164824982258,75005883078,150107351137,271672747762,1
8.11683E+15,1.67041E+16,2.73404E+16,190080777538,149212095032,139931317495,167224309026,933478902461,914522869852,279639695292,871382861339,836352079482,0
79325,1.44524E+15,2.75869E+16,225245073892,207729064039,223767241379,253910361567,104914174166,746164196823,644704717113,110069839409,556761008621,1
6.38894E+15,1.47382E+15,2.16483E+16,172830080367,152803673938,137723306544,222625202301,671944512771,694482769316,495619806997,451509428243,482306316877,1
745.8,1.67583E+16,2.63518E+15,185077723378,146638922889,143711138311,192768137996,860568977191,870875224864,371595550264,740578964504,758423657283,0
8.69734E+15,1.63014E+15,2.87336E+16,186399643494,155660606061,150882709447,235525505629,136297428331,16962778108,554722638019,185769889697,287735841141,1
8.69236E+15,1.68206E+16,3.11603E+16,183220138889,167723958333,168217013889,289121299992,216203828525,217490674888,835911261092,467440954687,473021936632,1
703018018018018,1.56469E+16,2.55868E+16,18165477997,15997875569,144317905918,173692366865,663647048633,669220290652,30169038307,440427405159,44785579742,0
7.02218E+15,1.18106E+16,234268,223674829932,169097959184,215296598639,287436070231,128429862062,916308540556,826194944699,164942294694,839621341497,1
8.9019E+15,1.7265E+16,2.81567E+16,227490990991,197487237237,228751501502,231145614683,957798926202,996362758736,534282951871,917378783033,992738746997,1
9.05017E+15,1.78204E+16,3112.0,229526574803,208890748031,222303641732,230914665886,15233757731,133847811079,533215829213,232067374606,179152365305,1
89751,1.98579E+15,3.08558E+16,188863555291,158970570749,142486325803,128747784562,904001154039,90738545888,165759920297,817218086504,823348370987,0
1.01181E+16,1.66663E+16,3.28339E+15,227574870099,165525743977,224346244686,223763424304,14171421407,129327537773,500700700562,200829184695,167256120265,1
7.52988E+15,1.60611E+16,2.59179E+15,178990850869,124883806038,123787740165,151788938463,51810833169,497747682785,230398818398,268436243367,247752755718,0
6.08717E+15,1.40479E+16,2.32144E+16,166580493537,126683901293,122297297297,189573470217,554404157134,526049221826,359381006102,307363969448,276727783784,0
1.0651E+16,2.23647E+15,3.45702E+15,191881633107,166934586717,151770942263,219054848803,23912297123,269828341175,479850267841,571797953699,728073337012,1
9.2827E+15,1.38404E+16,3.08907E+16,214241014799,117923185342,206798449612,246533624999,179040850847,129237469667,60778828255,32055626272,167023235659,1
8.00965E+15,1.56231E+16,2.95939E+16,174178749521,149130418105,140963176064,158277880107,900214228861,777380514872,250518873312,810385657844,604320464902,0
1.04921E+16,2.21422E+16,3.51411E+16,182989776581,150996957909,139366447237,18237622021,29965675054,287262377378,332610856982,897941681443,82519673457,0
79823,1.78216E+16,2.69316E+15,182653705954,162464763062,147881530984,157941383761,737931877789,809424424231,249454807044,544543456258,655167898542,0
917536231884058,1.96845E+16,326481875,180048942348,158909995852,152550808793,178971811651,138638773011,15361455178,320309093655,19220709382,235974305185,0
61117,1.45216E+16,2.10556E+16,176841121495,167226635514,151420560748,202894473436,528558447771,746415834593,411661673509,27937403271,557136598131,0
1.12831E+15,2.2677E+16,4.00282E+16,179965926802,1564657387,145290912022,172136702123,246037759468,292404792936,296310442177,605345790842,855005629322,1
8.54753E+15,1629.2,2.73453E+16,220158079625,184148711944,213862997658,229297281868,743273915581,894792138279,52577243472,552456113583,800652970726,1
